iso 121000 PL Ko³obrzeg 54.1833333 N 15.5833333 E    5 1 365 4
   N  M  D  H   DBT   RH     HR   WS WD   ITH   IDH   ISH   TSKY   N__0  N__30  NE_30  E__30  SE_30  S__30  SW_30  W__30  NW_30  N__45  NE_45  E__45  SE_45  S__45  SW_45  W__45  NW_45  N__60  NE_60  E__60  SE_60  S__60  SW_60  W__60  NW_60  N__90  NE_90  E__90  SE_90  S__90  SW_90  W__90  NW_90
   1  1  1  0   0.9   74  2.991  5.0 31   0.0   0.0   0.0  -5.41    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   2  1  1  1   0.9   74  2.988  4.0 30   0.0   0.0   0.0  -9.24    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   3  1  1  2   0.9   75  3.026  4.0 30   0.0   0.0   0.0 -10.32    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   4  1  1  3   0.9   76  3.063  4.0 29   0.0   0.0   0.0 -11.68    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   5  1  1  4   1.2   75  3.087  3.0 29   0.0   0.0   0.0 -10.71    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   6  1  1  5   1.4   75  3.131  2.0 29   0.0   0.0   0.0 -10.47    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   7  1  1  6   1.7   75  3.197  2.0 29   0.0   0.0   0.0  -9.36    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   8  1  1  7   0.8   79  3.154  2.0 26   0.0   0.0   0.0  -9.36    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   9  1  1  8   0.0   83  3.126  2.0 23  41.9   0.0  41.9 -10.32   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9   41.9
  10  1  1  9  -0.9   88  3.101  3.0 20  84.9   0.0  84.9  -9.83   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9   84.9
  11  1  1 10  -0.5   91  3.304  3.0 21 122.1   0.0 122.1  -9.34  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1  122.1
  12  1  1 11  -0.2   94  3.490  3.0 21  59.3   0.0  59.3  -6.74   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3   59.3
  13  1  1 12   0.2   98  3.749  4.0 22  52.3   0.0  52.3  -6.25   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3   52.3
  14  1  1 13   0.6   96  3.783  4.0 20  36.1   0.0  36.1  -5.77   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1   36.1
  15  1  1 14   1.0   94  3.815  4.0 19  29.1   0.0  29.1  -7.54   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1   29.1
  16  1  1 15   1.4   92  3.845  5.0 17   0.0   0.0   0.0  -7.06    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
