iso 121050 PL Koszalin 54.2000000 N 16.1833333 E   34 1 365 4
   N  M  D  H   DBT   RH     HR   WS WD   ITH   IDH   ISH   TSKY   N__0  N__30  NE_30  E__30  SE_30  S__30  SW_30  W__30  NW_30  N__45  NE_45  E__45  SE_45  S__45  SW_45  W__45  NW_45  N__60  NE_60  E__60  SE_60  S__60  SW_60  W__60  NW_60  N__90  NE_90  E__90  SE_90  S__90  SW_90  W__90  NW_90
   1  1  1  0  -7.2   93  2.064  4.0 23   0.0   0.0   0.0 -15.23    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   2  1  1  1  -7.7   92  1.964  3.0 23   0.0   0.0   0.0 -18.00    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   3  1  1  2  -8.1   92  1.905  3.0 24   0.0   0.0   0.0 -18.48    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   4  1  1  3  -8.6   92  1.832  3.0 24   0.0   0.0   0.0 -20.59    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   5  1  1  4  -8.9   91  1.770  3.0 22   0.0   0.0   0.0 -20.95    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   6  1  1  5  -9.1   91  1.742  3.0 20   0.0   0.0   0.0 -22.22    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   7  1  1  6  -9.4   91  1.701  3.0 18   0.0   0.0   0.0 -22.57    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   8  1  1  7  -9.6   88  1.619  3.0 19   0.0   0.0   0.0 -22.81    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   9  1  1  8  -9.9   86  1.544  3.0 21  51.2   0.0  51.2 -23.17   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2   51.2
  10  1  1  9 -10.1   84  1.484  3.0 22 124.4   0.0 124.4 -23.40  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4  124.4
  11  1  1 10  -9.6   83  1.526  3.0 22 177.9   0.0 177.9 -22.81  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9  177.9
  12  1  1 11  -9.1   83  1.587  3.0 23 169.8   0.0 169.8 -21.19  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8  169.8
  13  1  1 12  -8.6   83  1.651  4.0 23 148.9   0.0 148.9 -20.59  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9  148.9
  14  1  1 13  -7.8   75  1.587  3.0 24  98.9   0.0  98.9 -19.64   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9   98.9
  15  1  1 14  -7.0   67  1.507  3.0 26  33.7   0.0  33.7 -18.68   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7   33.7
  16  1  1 15  -6.2   60  1.434  3.0 27   0.0   0.0   0.0 -17.73    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  17  1  1 16  -6.9   69  1.563  3.0 26   0.0   0.0   0.0 -18.56    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
