iso 121950 PL Suwalki 54.0994444 N 22.9330556 E  186 1 365 4
   N  M  D  H   DBT   RH     HR   WS WD   ITH   IDH   ISH   TSKY   N__0  N__30  NE_30  E__30  SE_30  S__30  SW_30  W__30  NW_30  N__45  NE_45  E__45  SE_45  S__45  SW_45  W__45  NW_45  N__60  NE_60  E__60  SE_60  S__60  SW_60  W__60  NW_60  N__90  NE_90  E__90  SE_90  S__90  SW_90  W__90  NW_90
   1  1  1  0 -24.9   54  0.274  0.0  0   0.0   0.0   0.0 -44.95    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   2  1  1  1 -25.3   58  0.284  0.0  0   0.0   0.0   0.0 -45.42    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   3  1  1  2 -25.8   63  0.295  0.0  0   0.0   0.0   0.0 -46.00    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   4  1  1  3 -26.2   68  0.307  1.0 33   0.0   0.0   0.0 -46.47    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   5  1  1  4 -25.6   66  0.315  1.0 31   0.0   0.0   0.0 -45.77    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   6  1  1  5 -25.0   64  0.322  1.0 28   0.0   0.0   0.0 -43.76    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   7  1  1  6 -24.4   63  0.335  1.0 26   0.0   0.0   0.0 -43.06    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
   8  1  1  7 -23.4   67  0.389  2.0 26   9.3   0.0   9.3 -41.89    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3    9.3
   9  1  1  8 -22.3   71  0.454  3.0 27 105.8   0.0 105.8 -39.73  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8  105.8
  10  1  1  9 -21.3   75  0.524  4.0 27 186.1   0.0 186.1 -38.55  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1  186.1
  11  1  1 10 -19.7   75  0.602  3.0 26 262.8   0.0 262.8 -37.55  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8  262.8
  12  1  1 11 -18.1   75  0.690  3.0 26 260.5   0.0 260.5 -35.67  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5  260.5
  13  1  1 12 -16.5   76  0.800  3.0 25 250.0   0.0 250.0 -35.16  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0  250.0
  14  1  1 13 -16.5   74  0.780  3.0 26 138.4   0.0 138.4 -35.16  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4  138.4
  15  1  1 14 -16.4   73  0.776  4.0 26   3.5   0.0   3.5 -35.04    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5    3.5
  16  1  1 15 -16.4   72  0.765  5.0 27   0.0   0.0   0.0 -35.04    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  17  1  1 16 -16.9   71  0.724  5.0 27   0.0   0.0   0.0 -35.63    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  18  1  1 17 -17.4   70  0.684  5.0 27   0.0   0.0   0.0 -36.21    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  19  1  1 18 -17.9   70  0.656  6.0 27   0.0   0.0   0.0 -36.79    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  20  1  1 19 -17.2   71  0.706  6.0 26   0.0   0.0   0.0 -33.73    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  21  1  1 20 -16.4   72  0.766  6.0 26   0.0   0.0   0.0 -30.89    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  22  1  1 21 -15.7   73  0.823  6.0 25   0.0   0.0   0.0 -27.60    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  23  1  1 22 -15.6   73  0.830  5.0 25   0.0   0.0   0.0 -27.48    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  24  1  1 23 -15.4   73  0.844  4.0 26   0.0   0.0   0.0 -27.24    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  25  1  2  0 -15.3   74  0.863  3.0 26   0.0   0.0   0.0 -27.12    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  26  1  2  1 -15.5   75  0.860  3.0 25   0.0   0.0   0.0 -27.36    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  27  1  2  2 -15.6   76  0.865  3.0 25   0.0   0.0   0.0 -27.48    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  28  1  2  3 -15.8   77  0.862  3.0 24   0.0   0.0   0.0 -27.72    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  29  1  2  4 -15.4   79  0.914  3.0 24   0.0   0.0   0.0 -27.24    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  30  1  2  5 -14.9   81  0.977  4.0 25   0.0   0.0   0.0 -24.55    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  31  1  2  6 -14.5   83  1.035  5.0 25   0.0   0.0   0.0 -24.06    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0    0.0
  32  1  2  7 -13.6   81  1.087  4.0 26   2.3   0.0   2.3 -22.97    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3    2.3
  33  1  2  8 -12.8   80  1.145  3.0 26  26.7   0.0  26.7 -22.01   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7   26.7
  34  1  2  9 -11.9   79  1.215  3.0 27  46.5   0.0  46.5 -20.92   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5   46.5
  35  1  2 10 -11.3   79  1.275  3.0 27 133.7   0.0 133.7 -22.32  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7  133.7
